CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     1615        35799798       604540626        95999153       605040574 L1-dcache-stores
 -1     1615        10892427       604546647        95999347       605040574 L1-icache-load-misses
 -1     1615        82047385       604552746        96000123       605040574 L1-icache-loads
 -1     1615           17656       604558891        95997874       605040574 LLC-load-misses
 -1     1615           88590       604564947        95999007       605040574 LLC-loads
 -1     1615           41379       604574526        94058523       605040574 dTLB-load-misses
 -1     1615        65890980       604583731        90069104       605040574 dTLB-loads
 -1     1615            6084       604594768        86079204       605040574 dTLB-store-misses
 -1     1615        31354275       604600456        82084955       605040574 dTLB-stores
 -1     1615            8583       604605313        80000797       605040574 iTLB-load-misses
 -1     1615       213173601       604609052        79998688       605040574 iTLB-loads
 -1     1615        28382293       604612623        79999303       605040574 branch-load-misses
 -1     1615        42816613       604616291        79998341       605040574 branch-loads
 -1     1615               0       604619939        79996666       605040574 mem-loads
 -1     1615        33910016       604623513        79998174       605040574 stalled-cycles-backend
 -1     1615        76383716       604627219        79979308       605040574 stalled-cycles-frontend
 -1     1615        52689461       705359667        98581105       705953751 branches
 -1     1615          685675       705380489       102580703       705953751 branch-misses
 -1     1615          485001       705390725       106522257       705953751 cache-references
 -1     1615          222442       705398975       110538339       705953751 cache-misses
 -1     1615       237231777       705405181       111936946       705953751 cycles
 -1     1615       370881871       705411343       139936633       705953751 instructions
 -1     1615         1582443       705417569       139941287       705953751 L1-dcache-load-misses
 -1     1615       102425685       705423691       139997180       705953751 L1-dcache-loads
 -1     1615           45585       705429896       139999231       705953751 L1-dcache-prefetch-misses
 -1     1615          314182       705436062       139998421       705953751 L1-dcache-prefetches
 -1     1615          468002       705455343       111998655       705953751 L1-dcache-store-misses
 -1     1615        41976930       705462411       111999574       705953751 L1-dcache-stores
 -1     1615        12800011       705468613       111998847       705953751 L1-icache-load-misses
 -1     1615        96256466       705474635       112000352       705953751 L1-icache-loads
 -1     1615           20048       705487577       110971434       705953751 LLC-load-misses
 -1     1615           97554       705494146       106979042       705953751 LLC-loads
 -1     1615           45450       705500017       102985497       705953751 dTLB-load-misses
 -1     1615        72182475       705505573        98991335       705953751 dTLB-loads
 -1     1615            6751       705510267        95998498       705953751 dTLB-store-misses
 -1     1615        35715932       705513942        95998785       705953751 dTLB-stores
 -1     1615           10225       705517481        96000393       705953751 iTLB-load-misses
 -1     1615       259743625       705521047        95998278       705953751 iTLB-loads
 -1     1615        33314837       705524665        95999488       705953751 branch-load-misses
 -1     1615        51636069       705528438        95998553       705953751 branch-loads
 -1     1615               0       705532107        95996463       705953751 mem-loads
 -1     1615        40675417       705535639        95997891       705953751 stalled-cycles-backend
 -1     1615        91584904       705539306        95978759       705953751 stalled-cycles-frontend
 -1     1615        61246192       806271465       114569152       806867581 branches
 -1     1615          786125       806292221       118568132       806867581 branch-misses
 -1     1615          550682       806302436       122449146       806867581 cache-references
 -1     1615          248820       806310577       126538662       806867581 cache-misses
 -1     1615       271167210       806316809       127937072       806867581 cycles
 -1     1615       424441672       806322988       159936347       806867581 instructions
 -1     1615         1805500       806329136       159941992       806867581 L1-dcache-load-misses
 -1     1615       117030364       806335261       159996601       806867581 L1-dcache-loads
 -1     1615           53310       806341471       159998739       806867581 L1-dcache-prefetch-misses
 -1     1615          377184       806347613       159997365       806867581 L1-dcache-prefetches
 -1     1615          534152       806353621       127998394       806867581 L1-dcache-store-misses
 -1     1615        48108510       806359660       127999450       806867581 L1-dcache-stores
 -1     1615        14693202       806369013       127867519       806867581 L1-icache-load-misses
 -1     1615       106817977       806378156       123878778       806867581 L1-icache-loads
 -1     1615           21851       806386611       119884052       806867581 LLC-load-misses
 -1     1615          105554       806398401       115896698       806867581 LLC-loads
 -1     1615           49444       806403429       111998458       806867581 dTLB-load-misses
 -1     1615        81698011       806407160       111998886       806867581 dTLB-loads
 -1     1615            7884       806410792       111997974       806867581 dTLB-store-misses
 -1     1615        41858752       806414472       111997818       806867581 dTLB-stores
 -1     1615           11990       806418070       112000750       806867581 iTLB-load-misses
 -1     1615       302430986       806421664       111998015       806867581 iTLB-loads
 -1     1615        38931468       806425241       111998698       806867581 branch-load-misses
 -1     1615        60200227       806428786       111998371       806867581 branch-loads
 -1     1615               0       806432365       111995703       806867581 mem-loads
 -1     1615        47531929       806435906       112059205       806867581 stalled-cycles-backend
 -1     1615       106879035       806439692       111966551       806867581 stalled-cycles-frontend
 -1     1615        69778517       907196920       130568699       907797645 branches
 -1     1615          896549       907217759       134568166       907797645 branch-misses
 -1     1615          613056       907227917       138448084       907797645 cache-references
 -1     1615          274099       907235961       142538141       907797645 cache-misses
 -1     1615       305103058       907242089       143937303       907797645 cycles
 -1     1615       477594002       907248235       179936338       907797645 instructions
 -1     1615         2023441       907254350       179941622       907797645 L1-dcache-load-misses
 -1     1615       131710504       907260435       179996441       907797645 L1-dcache-loads
 -1     1615           61227       907266467       179998557       907797645 L1-dcache-prefetch-misses
 -1     1615          438863       907272542       179996935       907797645 L1-dcache-prefetches
 -1     1615          599694       907278497       143998076       907797645 L1-dcache-store-misses
 -1     1615        53009630       907287886       140788599       907797645 L1-dcache-stores
 -1     1615        15762590       907297110       136797228       907797645 L1-icache-load-misses
 -1     1615       114740569       907305467       132807290       907797645 L1-icache-loads
 -1     1615           23645       907313651       128812173       907797645 LLC-load-misses
 -1     1615          117091       907320679       127997799       907797645 LLC-loads
 -1     1615           56113       907326701       127998195       907797645 dTLB-load-misses
 -1     1615        93417205       907336149       127998959       907797645 dTLB-loads
 -1     1615            9047       907340132       127998004       907797645 dTLB-store-misses
 -1     1615        48030817       907343869       127997564       907797645 dTLB-stores
 -1     1615           13720       907347471       127999991       907797645 iTLB-load-misses
 -1     1615       345261342       907351025       127997239       907797645 iTLB-loads
 -1     1615        44655304       907354510       127998472       907797645 branch-load-misses
 -1     1615        68796620       907358033       127999063       907797645 branch-loads
 -1     1615               0       907361546       127995868       907797645 mem-loads
 -1     1615        54415255       907365121       128059378       907797645 stalled-cycles-backend
 -1     1615       122170196       907368706       127966268       907797645 stalled-cycles-frontend
 -1     1615        78334288      1008100386       146568513      1008708689 branches
 -1     1615         1005812      1008121231       150568015      1008708689 branch-misses
 -1     1615          675945      1008131393       154447260      1008708689 cache-references
 -1     1615          299865      1008139443       158537374      1008708689 cache-misses
 -1     1615       339038592      1008145579       159937174      1008708689 cycles
 -1     1615       530746290      1008151724       199936188      1008708689 instructions
 -1     1615         2243330      1008157830       199940981      1008708689 L1-dcache-load-misses
 -1     1615       146440566      1008163901       199997037      1008708689 L1-dcache-loads
 -1     1615           69318      1008170003       199998800      1008708689 L1-dcache-prefetch-misses
 -1     1615          465821      1008179462       197678229      1008708689 L1-dcache-prefetches
 -1     1615          640350      1008189018       153689141      1008708689 L1-dcache-store-misses
 -1     1615        56421577      1008197450       149699364      1008708689 L1-dcache-stores
 -1     1615        16821667      1008205588       145706702      1008708689 L1-icache-load-misses
 -1     1615       124681719      1008225679       144000904      1008708689 L1-icache-loads
 -1     1615           25894      1008235402       143997411      1008708689 LLC-load-misses
 -1     1615          130632      1008239249       143997510      1008708689 LLC-loads
 -1     1615           63104      1008242879       143998123      1008708689 dTLB-load-misses
 -1     1615       105128950      1008246456       143998141      1008708689 dTLB-loads
 -1     1615           10190      1008250114       143997228      1008708689 dTLB-store-misses
 -1     1615        54169550      1008253697       143996690      1008708689 dTLB-stores
 -1     1615           15517      1008257197       143999364      1008708689 iTLB-load-misses
 -1     1615       388042961      1008260708       143996995      1008708689 iTLB-loads
 -1     1615        50317367      1008264242       143999008      1008708689 branch-load-misses
 -1     1615        77403789      1008267768       143999211      1008708689 branch-loads
 -1     1615               0      1008271317       143996415      1008708689 mem-loads
 -1     1615        61123613      1008274862       144059884      1008708689 stalled-cycles-backend
 -1     1615       137454047      1008278571       143966044      1008708689 stalled-cycles-frontend
 -1     1615        86898694      1109019653       162568178      1109617421 branches
 -1     1615         1116252      1109040405       166567376      1109617421 branch-misses
 -1     1615          738547      1109050573       170448198      1109617421 cache-references
 -1     1615          326065      1109058630       174537333      1109617421 cache-misses
 -1     1615       372976344      1109064873       175937270      1109617421 cycles
 -1     1615       584309354      1109071172       219936143      1109617421 instructions
 -1     1615         2464531      1109077260       219940616      1109617421 L1-dcache-load-misses
 -1     1615       160029905      1109086898       218586158      1109617421 L1-dcache-loads
 -1     1615           69318      1109096289       214598551      1109617421 L1-dcache-prefetch-misses
 -1     1615          501765      1109104710       210605332      1109617421 L1-dcache-prefetches
 -1     1615          677936      1109113141       162614625      1109617421 L1-dcache-store-misses
 -1     1615        60388381      1109120365       159999375      1109617421 L1-dcache-stores
 -1     1615        18518989      1109126423       159999013      1109617421 L1-icache-load-misses
 -1     1615       138800356      1109132401       159999481      1109617421 L1-icache-loads
 -1     1615           28161      1109138447       159997436      1109617421 LLC-load-misses
 -1     1615          143386      1109147062       159997245      1109617421 LLC-loads
 -1     1615           70190      1109150579       159997209      1109617421 dTLB-load-misses
 -1     1615       116807124      1109154188       159998057      1109617421 dTLB-loads
 -1     1615           11343      1109157836       159996782      1109617421 dTLB-store-misses
 -1     1615        60287468      1109161379       159996953      1109617421 dTLB-stores
 -1     1615           17201      1109164868       159999782      1109617421 iTLB-load-misses
 -1     1615       430910870      1109168385       159997730      1109617421 iTLB-loads
 -1     1615        56057264      1109171851       159999202      1109617421 branch-load-misses
 -1     1615        86015382      1109175404       159998655      1109617421 branch-loads
 -1     1615               0      1109178919       159996328      1109617421 mem-loads
 -1     1615        67850194      1109182487       160058976      1109617421 stalled-cycles-backend
 -1     1615       152725790      1109186184       159965177      1109617421 stalled-cycles-frontend
 -1     1615        96073957      1209926882       178567790      1210527243 branches
 -1     1615         1220501      1209947724       182566740      1210527243 branch-misses
 -1     1615          814274      1209958019       186447657      1210527243 cache-references
 -1     1615          349894      1209966160       190537230      1210527243 cache-misses
 -1     1615       406914995      1209972298       191937297      1210527243 cycles
 -1     1615       637552785      1209981838       239422028      1210527243 instructions
 -1     1615         2634712      1209991177       235436419      1210527243 L1-dcache-load-misses
 -1     1615       169469834      1209999679       231500747      1210527243 L1-dcache-loads
 -1     1615           76832      1210008032       227511121      1210527243 L1-dcache-prefetch-misses
 -1     1615          564036      1210016363       223517261      1210527243 L1-dcache-prefetches
 -1     1615          732140      1210023634       175997997      1210527243 L1-dcache-store-misses
 -1     1615        66514234      1210029799       175998446      1210527243 L1-dcache-stores
 -1     1615        20451152      1210035764       175998094      1210527243 L1-icache-load-misses
 -1     1615       153200582      1210041776       175999735      1210527243 L1-icache-loads
 -1     1615           30938      1210047827       175997027      1210527243 LLC-load-misses
 -1     1615          157088      1210055643       175997242      1210527243 LLC-loads
 -1     1615           77212      1210059134       175997502      1210527243 dTLB-load-misses
 -1     1615       128473721      1210062741       175997615      1210527243 dTLB-loads
 -1     1615           12496      1210066417       175997047      1210527243 dTLB-store-misses
 -1     1615        66425510      1210070011       175997233      1210527243 dTLB-stores
 -1     1615           18887      1210073562       175999930      1210527243 iTLB-load-misses
 -1     1615       473317088      1210077160       175997429      1210527243 iTLB-loads
 -1     1615        61877224      1210080771       175998512      1210527243 branch-load-misses
 -1     1615        94652658      1210084216       175998593      1210527243 branch-loads
 -1     1615               0      1210087746       175995994      1210527243 mem-loads
 -1     1615        73260446      1210091237       176058997      1210527243 stalled-cycles-backend
 -1     1615       166373717      1210094917       175965596      1210527243 stalled-cycles-frontend
 -1     1615       104646097      1310851058       194567384      1311464520 branches
 -1     1615         1324514      1310871900       198566712      1311464520 branch-misses
 -1     1615          876914      1310882059       202447533      1311464520 cache-references
 -1     1615          375638      1310890115       206537126      1311464520 cache-misses
 -1     1615       433202101      1310900134       204342998      1311464520 cycles
 -1     1615       672125318      1310909172       252351057      1311464520 instructions
 -1     1615         2778374      1310917967       248364284      1311464520 L1-dcache-load-misses
 -1     1615       178912045      1310926320       244428320      1311464520 L1-dcache-loads
 -1     1615           84375      1310934628       240438979      1311464520 L1-dcache-prefetch-misses
